regionname,countryname,project result,curr_project_cost,lendinginstr
Eastern and Southern Africa,Republic of Uganda,Fail,903500000,Program-for-Results Financing
Eastern and Southern Africa,Republic of Kenya,Fail,225000000,Investment Project Financing
Eastern and Southern Africa,Republic of Zambia,Fail,200000000,Program-for-Results Financing
Western and Central Africa,Republic of Liberia,Fail,115000000,Investment Project Financing
Western and Central Africa,Republic of Cote d'Ivoire,Fail,210000000,Investment Project Financing
Eastern and Southern Africa,Eastern and Southern Africa,Fail,325000000,Investment Project Financing
Eastern and Southern Africa,Somali Democratic Republic,Fail,75000000,Development Policy Lending
Western and Central Africa,Republic of Togo,Fail,100000000,Development Policy Lending
Eastern and Southern Africa,Eastern and Southern Africa,Fail,750000000,Investment Project Financing
Eastern and Southern Africa,Democratic Republic of the Congo,Success,100000000,Investment Project Financing
Eastern and Southern Africa,Union of the Comoros,Fail,30000000,Investment Project Financing
Western and Central Africa,Federal Republic of Nigeria,Fail,700000000,Investment Project Financing
Eastern and Southern Africa,Republic of South Sudan,Fail,18000000,Investment Project Financing
Western and Central Africa,Republic of Niger,Fail,250000000,Investment Project Financing
Eastern and Southern Africa,Republic of Mozambique,Fail,100000000,Program-for-Results Financing
Western and Central Africa,Western and Central Africa,Fail,300000000,Investment Project Financing
Western and Central Africa,Republic of Cabo Verde,Fail,10000000,Development Policy Lending
Western and Central Africa,Islamic Republic of Mauritania,Fail,30000000,Development Policy Lending
Western and Central Africa,Republic of Cameroon,Fail,100000000,Investment Project Financing
Middle East and North Africa,Republic of Tunisia,Fail,920000000,Investment Project Financing
Western and Central Africa,Republic of Chad,Fail,150000000,Investment Project Financing
Eastern and Southern Africa,Republic of Zambia,Fail,100000000,Program-for-Results Financing
Western and Central Africa,Republic of The Gambia,Fail,50000000,Investment Project Financing
Western and Central Africa,Republic of Ghana,Fail,150000000,Investment Project Financing
Western and Central Africa,Central African Republic,Fail,30000000,Investment Project Financing
Middle East and North Africa,Kingdom of Morocco,Fail,210000000,Investment Project Financing
Western and Central Africa,Republic of Congo,Fail,75000000,Investment Project Financing
Eastern and Southern Africa,Republic of Madagascar,Fail,300000000,Investment Project Financing
Eastern and Southern Africa,Republic of South Sudan,Fail,50000000,Investment Project Financing
Eastern and Southern Africa,Republic of Angola,Fail,220000000,Program-for-Results Financing
Eastern and Southern Africa,Democratic Republic of the Congo,Fail,250000000,Development Policy Lending
Western and Central Africa,Republic of Togo,Fail,100000000,Investment Project Financing
Eastern and Southern Africa,Union of the Comoros,Fail,50000000,Investment Project Financing
Eastern and Southern Africa,Republic of Zambia,Success,182930000,Investment Project Financing
Middle East and North Africa,Republic of Djibouti,Fail,15000000,Investment Project Financing
Eastern and Southern Africa,Federal Democratic Republic of Ethiopia,Success,350000000,Investment Project Financing
Western and Central Africa,Western and Central Africa,Fail,300000000,Investment Project Financing
Eastern and Southern Africa,Republic of South Africa,Fail,1000000000,Development Policy Lending
Eastern and Southern Africa,Republic of Mozambique,Success,54000000,Investment Project Financing
Western and Central Africa,Central African Republic,Success,3000000,Investment Project Financing
Eastern and Southern Africa,Federal Democratic Republic of Ethiopia,Success,580000,Investment Project Financing
Eastern and Southern Africa,Federal Democratic Republic of Ethiopia,Fail,300000000,Investment Project Financing
Eastern and Southern Africa,Eastern and Southern Africa,Fail,700000000,Investment Project Financing
Western and Central Africa,Republic of Liberia,Fail,30500000,Investment Project Financing
Western and Central Africa,Republic of Guinea,Fail,100000000,Investment Project Financing
Middle East and North Africa,Kingdom of Morocco,Fail,100000000,Program-for-Results Financing
Eastern and Southern Africa,Republic of Kenya,Fail,200000000,Program-for-Results Financing
Middle East and North Africa,Republic of Tunisia,Success,130000000,Investment Project Financing
Western and Central Africa,Central African Republic,Fail,50000000,Investment Project Financing
Middle East and North Africa,Republic of Iraq,Fail,200000,Investment Project Financing
Middle East and North Africa,Republic of Djibouti,Success,30000000,Investment Project Financing
Eastern and Southern Africa,Republic of the Sudan,Success,100000000,Investment Project Financing
Middle East and North Africa,Republic of Djibouti,Fail,20000000,Investment Project Financing
Eastern and Southern Africa,Eastern and Southern Africa,Fail,490000000,Investment Project Financing
Western and Central Africa,Republic of The Gambia,Success,12000000,Investment Project Financing
Eastern and Southern Africa,Republic of Malawi,Fail,127000000,Investment Project Financing
Middle East and North Africa,Hashemite Kingdom of Jordan,Fail,190000000,Investment Project Financing
Middle East and North Africa,Republic of Iraq,Fail,102490000,Investment Project Financing
Middle East and North Africa,Arab Republic of Egypt,Success,500000000,Investment Project Financing
Eastern and Southern Africa,Republic of Madagascar,Success,100000000,Investment Project Financing
Western and Central Africa,Western and Central Africa,Fail,421000000,Investment Project Financing
Eastern and Southern Africa,Republic of Malawi,Success,60000000,Investment Project Financing
Middle East and North Africa,Kingdom of Morocco,Fail,100000000,Investment Project Financing
Eastern and Southern Africa,Federal Democratic Republic of Ethiopia,Fail,250000000,Program-for-Results Financing
Western and Central Africa,Republic of Niger,Success,26700000,Investment Project Financing
Eastern and Southern Africa,Republic of South Sudan,Fail,50000000,Investment Project Financing
Eastern and Southern Africa,Somali Democratic Republic,Success,41500000,Investment Project Financing
Eastern and Southern Africa,Somali Democratic Republic,Success,23000000,Investment Project Financing
Middle East and North Africa,Lebanese Republic,Success,150000000,Investment Project Financing
Eastern and Southern Africa,Republic of Kenya,Fail,6138300000,Program-for-Results Financing
Western and Central Africa,Republic of Benin,Fail,30000000,Investment Project Financing
Western and Central Africa,Republic of Togo,Fail,50000000,Program-for-Results Financing
Middle East and North Africa,Republic of Iraq,Fail,4200000,Investment Project Financing
Eastern and Southern Africa,Republic of Botswana,Fail,3500000,Investment Project Financing
Eastern and Southern Africa,Federal Democratic Republic of Ethiopia,Success,195000000,Investment Project Financing
Eastern and Southern Africa,Republic of Malawi,Fail,250000000,Investment Project Financing
Eastern and Southern Africa,Democratic Republic of the Congo,Success,59000000,Investment Project Financing
Eastern and Southern Africa,United Republic of Tanzania,Fail,150000000,Investment Project Financing
Eastern and Southern Africa,Federal Democratic Republic of Ethiopia,Fail,150000000,Investment Project Financing
Middle East and North Africa,Arab Republic of Egypt,Fail,777000000,Investment Project Financing
Middle East and North Africa,Lebanese Republic,Success,570000,Investment Project Financing
Eastern and Southern Africa,Republic of Zambia,Fail,100000000,Investment Project Financing
Western and Central Africa,Western and Central Africa,Success,92000000,Investment Project Financing
Western and Central Africa,Central African Republic,Fail,70000000,Investment Project Financing
Middle East and North Africa,Republic of Iraq,Fail,3150000,Investment Project Financing
Middle East and North Africa,Kingdom of Morocco,Fail,200000000,Investment Project Financing
Western and Central Africa,Republic of Ghana,Fail,440000000,Investment Project Financing
Middle East and North Africa,Kingdom of Morocco,Fail,1200000000,Program-for-Results Financing
Western and Central Africa,Republic of Senegal,Fail,100000000,Investment Project Financing
Eastern and Southern Africa,Somali Democratic Republic,Success,143000000,Investment Project Financing
Western and Central Africa,Federal Republic of Nigeria,Success,3500000,Investment Project Financing
Middle East and North Africa,West Bank and Gaza,Fail,18000000,Investment Project Financing
Western and Central Africa,Republic of Ghana,Fail,150000000,Investment Project Financing
Western and Central Africa,Republic of Sierra Leone,Fail,40000000,Investment Project Financing
Eastern and Southern Africa,Republic of Madagascar,Fail,250000000,Investment Project Financing
Western and Central Africa,Central African Republic,Fail,100000000,Investment Project Financing
Eastern and Southern Africa,Eastern and Southern Africa,Fail,760000000,Investment Project Financing
Eastern and Southern Africa,Democratic Republic of the Congo,Fail,250000000,Investment Project Financing
Western and Central Africa,Republic of Sierra Leone,Fail,40000000,Investment Project Financing
Eastern and Southern Africa,Eastern and Southern Africa,Success,23000000,Investment Project Financing
Western and Central Africa,Republic of Sierra Leone,Fail,13000000,Investment Project Financing
Western and Central Africa,Republic of Senegal,Fail,250000000,Investment Project Financing
Western and Central Africa,Burkina Faso,Fail,200000000,Investment Project Financing
Middle East and North Africa,Republic of Yemen,Success,150000000,Investment Project Financing
Eastern and Southern Africa,Republic of Mozambique,Fail,200000000,Investment Project Financing
Eastern and Southern Africa,Republic of South Sudan,Fail,41000000,Investment Project Financing
Eastern and Southern Africa,Republic of Mozambique,Fail,150000000,Investment Project Financing
Western and Central Africa,Burkina Faso,Success,123000000,Investment Project Financing
Western and Central Africa,Republic of Cabo Verde,Fail,30000000,Investment Project Financing
Eastern and Southern Africa,Democratic Republic of the Congo,Fail,300000000,Investment Project Financing
Eastern and Southern Africa,Eastern and Southern Africa,Success,100000000,Investment Project Financing
Middle East and North Africa,Lebanese Republic,Fail,250000000,Investment Project Financing
Eastern and Southern Africa,Union of the Comoros,Success,25000000,Investment Project Financing
Western and Central Africa,Republic of Congo,Fail,50000000,Development Policy Lending
Western and Central Africa,Republic of Guinea,Success,25430000,Investment Project Financing
Western and Central Africa,Burkina Faso,Fail,150000000,Investment Project Financing
Middle East and North Africa,Lebanese Republic,Success,29000000,Investment Project Financing
Eastern and Southern Africa,Eastern and Southern Africa,Success,873600000,Investment Project Financing
Middle East and North Africa,Republic of Tunisia,Success,23800000,Investment Project Financing
Eastern and Southern Africa,Republic of Zambia,Success,460000,Investment Project Financing
Western and Central Africa,Western and Central Africa,Fail,415000000,Investment Project Financing
Eastern and Southern Africa,Republic of Zambia,Success,210000000,Program-for-Results Financing
Middle East and North Africa,Hashemite Kingdom of Jordan,Fail,9300000,Investment Project Financing
Western and Central Africa,Republic of Liberia,Success,9000000,Investment Project Financing
Middle East and North Africa,Republic of Yemen,Fail,150000000,Investment Project Financing
Eastern and Southern Africa,Eastern and Southern Africa,Success,60000000,Investment Project Financing
Western and Central Africa,Republic of Ghana,Success,354540000,Program-for-Results Financing
Western and Central Africa,Republic of Niger,Fail,350000000,Development Policy Lending
Western and Central Africa,Burkina Faso,Fail,200000000,Development Policy Lending
Eastern and Southern Africa,Democratic Republic of the Congo,Fail,400000000,Investment Project Financing
Middle East and North Africa,Republic of Tunisia,Fail,50000000,Investment Project Financing
Eastern and Southern Africa,Republic of Zambia,Success,300000000,Program-for-Results Financing
Western and Central Africa,Republic of Cote d'Ivoire,Fail,376000000,Investment Project Financing
Eastern and Southern Africa,Democratic Republic of the Congo,Fail,500000000,Investment Project Financing
Eastern and Southern Africa,Democratic Republic of Sao Tome and Prin,Fail,30000000,Investment Project Financing
Middle East and North Africa,Arab Republic of Egypt,Fail,200000000,Investment Project Financing
Middle East and North Africa,Republic of Yemen,Success,120400000,Investment Project Financing
Middle East and North Africa,Republic of Djibouti,Fail,2750000,Investment Project Financing
Middle East and North Africa,Arab Republic of Egypt,Fail,400000000,Development Policy Lending
Western and Central Africa,Republic of Sierra Leone,Fail,100000000,Development Policy Lending
Eastern and Southern Africa,Republic of Rwanda,Success,32000000,Investment Project Financing
Eastern and Southern Africa,Republic of Madagascar,Success,41000000,Investment Project Financing
Western and Central Africa,Republic of Chad,Success,400000,Investment Project Financing
Middle East and North Africa,Republic of Yemen,Success,120000000,Investment Project Financing
Western and Central Africa,Republic of Cameroon,Success,44600000,Investment Project Financing
Western and Central Africa,Republic of Benin,Success,10700000,Investment Project Financing
Middle East and North Africa,Hashemite Kingdom of Jordan,Success,102000000,Investment Project Financing
Eastern and Southern Africa,Republic of Seychelles,Fail,15000000,Development Policy Lending
Eastern and Southern Africa,Republic of Seychelles,Fail,25000000,Development Policy Lending
Western and Central Africa,Republic of Cameroon,Fail,280000000,Investment Project Financing
Western and Central Africa,Republic of Guinea-Bissau,Success,2200000,Investment Project Financing
Eastern and Southern Africa,Democratic Republic of the Congo,Success,300000000,Investment Project Financing
Eastern and Southern Africa,Republic of Rwanda,Fail,50000000,Investment Project Financing
Africa,Africa,Success,1000000,Investment Project Financing
Eastern and Southern Africa,United Republic of Tanzania,Fail,50000000,Investment Project Financing
Eastern and Southern Africa,United Republic of Tanzania,Fail,450000000,Development Policy Lending
Middle East and North Africa,Middle East and North Africa,Success,45000000,Investment Project Financing
Middle East and North Africa,Kingdom of Morocco,Success,156310000,Program-for-Results Financing
Western and Central Africa,Republic of Cameroon,Fail,300000000,Program-for-Results Financing
Western and Central Africa,Western and Central Africa,Success,315000000,Investment Project Financing
Western and Central Africa,Republic of Congo,Success,29670000,Investment Project Financing
Eastern and Southern Africa,Republic of Rwanda,Fail,125000000,Development Policy Lending
Eastern and Southern Africa,Federal Democratic Republic of Ethiopia,Fail,225000000,Investment Project Financing
Eastern and Southern Africa,Republic of South Sudan,Success,200000000,Investment Project Financing
Middle East and North Africa,Arab Republic of Egypt,Fail,200000000,Investment Project Financing
Western and Central Africa,Islamic Republic of Mauritania,Success,20000000,Investment Project Financing
Eastern and Southern Africa,Republic of Malawi,Success,59900000,Investment Project Financing
Middle East and North Africa,Lebanese Republic,Success,4000000,Investment Project Financing
Eastern and Southern Africa,Republic of Mozambique,Success,100000000,Investment Project Financing
Eastern and Southern Africa,Republic of Mozambique,Success,100000000,Investment Project Financing
Western and Central Africa,Republic of Cote d'Ivoire,Fail,200000000,Development Policy Lending
Western and Central Africa,Republic of Ghana,Success,60600000,Investment Project Financing
Eastern and Southern Africa,Eastern and Southern Africa,Success,180000000,Investment Project Financing
Africa,Africa,Success,8000000,Investment Project Financing
Eastern and Southern Africa,Republic of Angola,Success,60000000,Investment Project Financing
Western and Central Africa,Republic of Benin,Success,150000000,Development Policy Lending
Eastern and Southern Africa,Republic of Angola,Fail,250000000,Investment Project Financing
Eastern and Southern Africa,Republic of Angola,Fail,300000000,Investment Project Financing
Middle East and North Africa,Republic of Djibouti,Success,19500000,Investment Project Financing
Eastern and Southern Africa,Somali Democratic Republic,Fail,50000000,Investment Project Financing
Eastern and Southern Africa,Democratic Republic of Sao Tome and Prin,Success,18000000,Investment Project Financing
Eastern and Southern Africa,Republic of Uganda,Fail,150000000,Program-for-Results Financing
Eastern and Southern Africa,Republic of the Sudan,Fail,121100000,Investment Project Financing
Eastern and Southern Africa,Republic of Rwanda,Success,129060000,Investment Project Financing
Middle East and North Africa,Republic of Iraq,Fail,100000000,Investment Project Financing
Western and Central Africa,Republic of Congo,Success,10000000,Investment Project Financing
Middle East and North Africa,Hashemite Kingdom of Jordan,Success,112000000,Investment Project Financing
Western and Central Africa,Republic of Mali,Fail,100000000,Investment Project Financing
Western and Central Africa,Republic of Togo,Success,25000000,Investment Project Financing
Western and Central Africa,Republic of Sierra Leone,Fail,30000000,Investment Project Financing
Western and Central Africa,Federal Republic of Nigeria,Fail,2340000,Investment Project Financing
Western and Central Africa,Federal Republic of Nigeria,Fail,3900000,Investment Project Financing
Middle East and North Africa,Arab Republic of Egypt,Success,998000000,Investment Project Financing
Middle East and North Africa,Lebanese Republic,Fail,270000000,Investment Project Financing
Western and Central Africa,Burkina Faso,Fail,150000000,Investment Project Financing
Eastern and Southern Africa,Federal Democratic Republic of Ethiopia,Success,206000000,Investment Project Financing
Eastern and Southern Africa,Somali Democratic Republic,Success,92000000,Investment Project Financing
Middle East and North Africa,West Bank and Gaza,Success,7000000,Investment Project Financing
Eastern and Southern Africa,Federal Democratic Republic of Ethiopia,Fail,200000000,Investment Project Financing
Western and Central Africa,Burkina Faso,Fail,150000000,Program-for-Results Financing
Western and Central Africa,Republic of Sierra Leone,Success,18100000,Investment Project Financing
Middle East and North Africa,Lebanese Republic,Fail,300000000,Investment Project Financing
Eastern and Southern Africa,Eastern and Southern Africa,Success,35000000,Investment Project Financing
Eastern and Southern Africa,Republic of Burundi,Fail,40000000,Investment Project Financing
Western and Central Africa,Republic of Cote d'Ivoire,Success,180000000,Investment Project Financing
Middle East and North Africa,Republic of Tunisia,Success,400000000,Investment Project Financing
Eastern and Southern Africa,Kingdom of Eswatini,Fail,10000000,Investment Project Financing
Eastern and Southern Africa,Eastern and Southern Africa,Fail,375000000,Investment Project Financing
Middle East and North Africa,Hashemite Kingdom of Jordan,Success,350000000,Investment Project Financing
Eastern and Southern Africa,Kingdom of Lesotho,Success,26500000,Investment Project Financing
Eastern and Southern Africa,Republic of Malawi,Success,187500000,Investment Project Financing
Western and Central Africa,Republic of Cote d'Ivoire,Fail,264700000,Program-for-Results Financing
Middle East and North Africa,Arab Republic of Egypt,Fail,250000000,Investment Project Financing
Western and Central Africa,Republic of Congo,Fail,70000000,Investment Project Financing
Western and Central Africa,Republic of Cameroon,Success,100000000,Investment Project Financing
Eastern and Southern Africa,Republic of Burundi,Success,60000000,Investment Project Financing
Western and Central Africa,Republic of The Gambia,Fail,20000000,Development Policy Lending
Middle East and North Africa,West Bank and Gaza,Success,8000000,Investment Project Financing
Middle East and North Africa,Arab Republic of Egypt,Fail,230000000,Investment Project Financing
Eastern and Southern Africa,Republic of Burundi,Fail,100000000,Investment Project Financing
Eastern and Southern Africa,Republic of South Sudan,Success,129000000,Investment Project Financing
Eastern and Southern Africa,Federal Democratic Republic of Ethiopia,Fail,400000000,Investment Project Financing
Eastern and Southern Africa,Federal Democratic Republic of Ethiopia,Success,58000000,Investment Project Financing
Eastern and Southern Africa,Union of the Comoros,Success,43000000,Investment Project Financing
Eastern and Southern Africa,Somali Democratic Republic,Fail,70000000,Investment Project Financing
Western and Central Africa,Central African Republic,Success,25500000,Investment Project Financing
Eastern and Southern Africa,Republic of Madagascar,Success,100000000,Investment Project Financing
Eastern and Southern Africa,Republic of the Sudan,Fail,250000000,Investment Project Financing
Western and Central Africa,Burkina Faso,Success,61300000,Investment Project Financing
Eastern and Southern Africa,Republic of Rwanda,Success,100000000,Investment Project Financing
Middle East and North Africa,Islamic Republic of Iran,Success,90000000,Investment Project Financing
Eastern and Southern Africa,Republic of Rwanda,Fail,20000000,Investment Project Financing
Eastern and Southern Africa,Republic of Uganda,Fail,250000000,Investment Project Financing
Western and Central Africa,Republic of Liberia,Fail,40000000,Investment Project Financing
Western and Central Africa,Republic of Congo,Fail,70000000,Program-for-Results Financing
Eastern and Southern Africa,Democratic Republic of the Congo,Success,250000000,Development Policy Lending
Western and Central Africa,Republic of Congo,Success,83000000,Investment Project Financing
Western and Central Africa,Federal Republic of Nigeria,Success,750000000,Program-for-Results Financing
Eastern and Southern Africa,Republic of South Africa,Success,5000000,Investment Project Financing
Eastern and Southern Africa,Republic of South Africa,Fail,497000000,Investment Project Financing
Western and Central Africa,Gabonese Republic,Fail,90000000,Investment Project Financing
Eastern and Southern Africa,Republic of Namibia,Fail,115290000,Investment Project Financing
Western and Central Africa,Republic of Mali,Fail,30000000,Investment Project Financing
Eastern and Southern Africa,Republic of Madagascar,Fail,150000000,Investment Project Financing
Western and Central Africa,Republic of Togo,Fail,150000000,Investment Project Financing
Western and Central Africa,Federal Republic of Nigeria,Fail,1853500000,Program-for-Results Financing
Eastern and Southern Africa,Republic of Angola,Success,306000000,Investment Project Financing
Middle East and North Africa,West Bank and Gaza,Success,20000000,Investment Project Financing
Eastern and Southern Africa,Somali Democratic Republic,Fail,75000000,Investment Project Financing
Africa West,Republic of Guinea-Bissau,Fail,40000000,Investment Project Financing
Eastern and Southern Africa,Republic of Uganda,Success,180300000,Investment Project Financing
Western and Central Africa,Republic of The Gambia,Success,52000000,Investment Project Financing
Eastern and Southern Africa,Republic of the Sudan,Fail,500000000,Development Policy Lending
Eastern and Southern Africa,Republic of Rwanda,Success,10230000,Investment Project Financing
Eastern and Southern Africa,Federal Democratic Republic of Ethiopia,Success,300000000,Investment Project Financing
Eastern and Southern Africa,Eastern and Southern Africa,Success,1950000,Investment Project Financing
Western and Central Africa,Republic of Guinea,Fail,80000000,Investment Project Financing
Africa East,Republic of Madagascar,Fail,150000000,Investment Project Financing
Western and Central Africa,Republic of Cabo Verde,Success,10000000,Investment Project Financing
Western and Central Africa,Republic of The Gambia,Success,68000000,Investment Project Financing
Eastern and Southern Africa,Federal Democratic Republic of Ethiopia,Fail,150000000,Investment Project Financing
Eastern and Southern Africa,Republic of Zimbabwe,Success,900000,Investment Project Financing
Western and Central Africa,Republic of Chad,Fail,140000000,Investment Project Financing
Eastern and Southern Africa,Democratic Republic of Sao Tome and Prin,Success,23900000,Investment Project Financing
Eastern and Southern Africa,Republic of Burundi,Fail,120000000,Investment Project Financing
Eastern and Southern Africa,United Republic of Tanzania,Success,341000000,Program-for-Results Financing
Eastern and Southern Africa,United Republic of Tanzania,Fail,254930000,Program-for-Results Financing
Eastern and Southern Africa,Republic of the Sudan,Fail,50000000,Investment Project Financing
Western and Central Africa,Republic of Cote d'Ivoire,Fail,250000000,Investment Project Financing
Western and Central Africa,Republic of Mali,Fail,100000000,Investment Project Financing
Eastern and Southern Africa,Democratic Republic of Sao Tome and Prin,Fail,33500000,Investment Project Financing
Western and Central Africa,Republic of Guinea,Fail,79000000,Investment Project Financing
Western and Central Africa,Burkina Faso,Fail,150000000,Investment Project Financing
Eastern and Southern Africa,Republic of South Sudan,Success,120000000,Investment Project Financing
Eastern and Southern Africa,Republic of the Sudan,Fail,300000000,Investment Project Financing
Eastern and Southern Africa,Republic of the Sudan,Fail,204000000,Investment Project Financing
Western and Central Africa,Burkina Faso,Success,10000000,Investment Project Financing
Western and Central Africa,Republic of Sierra Leone,Success,50000000,Investment Project Financing
Western and Central Africa,Federal Republic of Nigeria,Success,400000000,Investment Project Financing
Western and Central Africa,Republic of Cote d'Ivoire,Fail,300000000,Investment Project Financing
Western and Central Africa,Republic of Mali,Fail,150000000,Investment Project Financing
Eastern and Southern Africa,Republic of the Sudan,Fail,200000000,Investment Project Financing
Western and Central Africa,Republic of Mali,Fail,150000000,Investment Project Financing
Middle East and North Africa,Republic of Yemen,Success,50000000,Investment Project Financing
Western and Central Africa,Republic of Liberia,Success,1000000,Investment Project Financing
Eastern and Southern Africa,Republic of Kenya,Fail,300000000,Program-for-Results Financing
Western and Central Africa,Republic of Chad,Fail,150000000,Investment Project Financing
Western and Central Africa,Republic of Niger,Success,150000000,Investment Project Financing
Western and Central Africa,Republic of Mali,Fail,291000000,Investment Project Financing
Western and Central Africa,Republic of Mali,Fail,150000000,Investment Project Financing
Middle East and North Africa,Republic of Iraq,Success,100000000,Investment Project Financing
Western and Central Africa,Republic of Sierra Leone,Success,41100000,Investment Project Financing
Western and Central Africa,Republic of Mali,Fail,120000000,Investment Project Financing
Western and Central Africa,Burkina Faso,Fail,150000000,Investment Project Financing
Middle East and North Africa,Republic of Yemen,Success,300000000,Investment Project Financing
Western and Central Africa,Republic of Congo,Success,3000000,Investment Project Financing
Western and Central Africa,Burkina Faso,Fail,160000000,Investment Project Financing
Eastern and Southern Africa,Republic of Angola,Success,450000000,Investment Project Financing
Western and Central Africa,Central African Republic,Success,70000000,Investment Project Financing
Eastern and Southern Africa,Republic of the Sudan,Fail,125000000,Investment Project Financing
Eastern and Southern Africa,Federal Democratic Republic of Ethiopia,Success,37500000,Investment Project Financing
Eastern and Southern Africa,Republic of Malawi,Success,45500000,Investment Project Financing
Western and Central Africa,Republic of Liberia,Success,55000000,Development Policy Lending
Western and Central Africa,Republic of Cabo Verde,Success,35000000,Investment Project Financing
Eastern and Southern Africa,Somali Democratic Republic,Success,45000000,Investment Project Financing
Eastern and Southern Africa,Eastern and Southern Africa,Fail,65000000,Investment Project Financing
Western and Central Africa,Republic of Guinea-Bissau,Success,70300000,Investment Project Financing
Western and Central Africa,Republic of Benin,Success,252000000,Program-for-Results Financing
Middle East and North Africa,Kingdom of Morocco,Success,500000000,Development Policy Lending
Western and Central Africa,Federal Republic of Nigeria,Success,800000000,Investment Project Financing
Western and Central Africa,Western and Central Africa,Fail,178600000,Investment Project Financing
Western and Central Africa,Republic of The Gambia,Fail,50000000,Investment Project Financing
Western and Central Africa,Republic of Niger,Fail,110000000,Investment Project Financing
Eastern and Southern Africa,Republic of Kenya,Success,750000000,Development Policy Lending
Western and Central Africa,Republic of Togo,Fail,65000000,Investment Project Financing
Eastern and Southern Africa,Republic of South Sudan,Success,70000000,Investment Project Financing
Eastern and Southern Africa,Somali Democratic Republic,Success,52000000,Investment Project Financing
Western and Central Africa,Republic of Niger,Fail,51480000,Investment Project Financing
Eastern and Southern Africa,Republic of Rwanda,Fail,100000000,Investment Project Financing
Western and Central Africa,Republic of Togo,Fail,65000000,Program-for-Results Financing
Western and Central Africa,Republic of Cote d'Ivoire,Success,110000000,Program-for-Results Financing
Eastern and Southern Africa,Republic of Uganda,Success,7000000,Investment Project Financing
